No.57, R2: 0.825769, MSE: 0.145104, MAE: 0.318034, EV: 0.826480 {'colsample_bytree': 0.6486012045301861, 'gamma': 0.2591483665255831, 'learning_rate': 0.28161443297465716, 'max_depth': 1.0, 'min_child_weight': 7.633877362489826, 'n_estimators': 242.0, 'subsample': 0.7988686351767649}
No.58, R2: 0.848849, MSE: 0.125882, MAE: 0.298288, EV: 0.849106 {'colsample_bytree': 0.646062507260655, 'gamma': 0.25691015679066515, 'learning_rate': 0.2779403141944061, 'max_depth': 2.0, 'min_child_weight': 7.645997893914273, 'n_estimators': 203.0, 'subsample': 0.8047368561944493}
No.59, R2: 0.838773, MSE: 0.134274, MAE: 0.295816, EV: 0.839778 {'colsample_bytree': 0.6524496221480797, 'gamma': 0.24951444938212866, 'learning_rate': 0.2762220792793762, 'max_depth': 1.0, 'min_child_weight': 7.643764545954214, 'n_estimators': 212.0, 'subsample': 0.8069883378070902}
No.60, R2: 0.859500, MSE: 0.117012, MAE: 0.282950, EV: 0.859609 {'colsample_bytree': 0.6538091771405382, 'gamma': 0.24425262205263634, 'learning_rate': 0.2798268052210689, 'max_depth': 2.0, 'min_child_weight': 7.640228279375457, 'n_estimators': 237.0, 'subsample': 0.8029904216224817}
No.61, R2: 0.836473, MSE: 0.136189, MAE: 0.297984, EV: 0.836474 {'colsample_bytree': 0.6514806109416204, 'gamma': 0.2539771112964799, 'learning_rate': 0.2700327607400399, 'max_depth': 3.0, 'min_child_weight': 7.636917564813699, 'n_estimators': 193.0, 'subsample': 0.8086089046617152}
No.62, R2: 0.852289, MSE: 0.123018, MAE: 0.289111, EV: 0.852328 {'colsample_bytree': 0.6501750575629524, 'gamma': 0.25513243695190513, 'learning_rate': 0.2788018236965905, 'max_depth': 2.0, 'min_child_weight': 7.647783136707937, 'n_estimators': 233.0, 'subsample': 0.8039971816566719}
No.63, R2: 0.842286, MSE: 0.131348, MAE: 0.293621, EV: 0.842794 {'colsample_bytree': 0.6520762924937034, 'gamma': 0.2488339082872309, 'learning_rate': 0.28214341656454744, 'max_depth': 3.0, 'min_child_weight': 7.642132707395385, 'n_estimators': 198.0, 'subsample': 0.8055792652392294}
No.64, R2: 0.835838, MSE: 0.136719, MAE: 0.307603, EV: 0.835863 {'colsample_bytree': 0.65078819397606, 'gamma': 0.24729181616407309, 'learning_rate': 0.2731033970344162, 'max_depth': 3.0, 'min_child_weight': 7.648668151974796, 'n_estimators': 185.0, 'subsample': 0.8022706445299724}
No.65, R2: 0.858886, MSE: 0.117524, MAE: 0.281557, EV: 0.859052 {'colsample_bytree': 0.6467496846077294, 'gamma': 0.24012311030790826, 'learning_rate': 0.27074629834578484, 'max_depth': 2.0, 'min_child_weight': 7.646600024784791, 'n_estimators': 173.0, 'subsample': 0.799264307067097}
No.66, R2: 0.852194, MSE: 0.123096, MAE: 0.292659, EV: 0.852224 {'colsample_bytree': 0.6480507332363671, 'gamma': 0.2535927795334608, 'learning_rate': 0.2785012345830475, 'max_depth': 2.0, 'min_child_weight': 7.645619065546046, 'n_estimators': 226.0, 'subsample': 0.7998663674041969}
